author_id,name,institution_id,institution_name,year_start,year_end,orcid,closest_hospital,hospital_lat,hospital_lon,distance_km,date_of_birth,date_of_death,ORCID,loc_id,affiliation,q_id,total_works,total_citations,inst_type,appoint_len,appt_dropped_by_inst_type,appoint_len_w,winsorized_appointment,perfect_overlap,partial_overlap_kept,partial_overlap_author,perfect_overlap_author,lifespan,earliest_start,latest_end,age_first_pub,latest_end_adj,time_from_last_pub,bad_age_first_pub,bad_lifespan
https://openalex.org/A5016836431,Muhammad I. Qureshi,https://openalex.org/I59475050,Jamia Millia Islamia,2014,2024,0000-0002-0661-4156,,,,,,,0000-0001-5700-115X,,,Q59994661,37,119,education,10,0,10,False,0,0,0,0,,1986,2024,,2024.0,,0,0
https://openalex.org/A5079171948,Ulrich Schörken,https://openalex.org/I102520234,TH Köln - University of Applied Sciences,2014,2024,0000-0003-3471-7651,,,,,,,,,,,43,1507,education,10,1,10,False,0,0,1,0,,2014,2024,,2024.0,,0,0
https://openalex.org/A5063580634,Qingzhong Ma,https://openalex.org/I36053171,"California State University, Chico",2009,2024,0000-0002-4925-9596,ENLOE MEDICAL CENTER- ESPLANADE CAMPUS,39.741827593,-121.850394338,1.8492158284114253,,,0000-0001-7527-4266,,,Q59914542,45,391,education,15,0,15,False,0,0,0,0,,2009,2024,,2024.0,,0,0
https://openalex.org/A5111467230,Howard Kaufman,https://openalex.org/I165799507,Rensselaer Polytechnic Institute,1971,1998,,THE BURDETT CARE CENTER,42.733357751,-73.672666077,1.655930997815072,,,0000-0003-1131-004X,n2004012841,Columbia University,Q71050602,87,1726,education,27,0,27,False,0,0,0,0,,1971,1998,,1998.0,,0,0
https://openalex.org/A5003221932,Yaron Kanza,https://openalex.org/I174306211,Technion – Israel Institute of Technology,2008,2014,0000-0001-6056-595X,,,,,,,,,,Q102311696,117,2037,education,6,1,6,False,0,0,0,0,,2008,2014,,2014.0,,0,0
https://openalex.org/A5014069871,Hermann Burr,https://openalex.org/I96424156,Federal Institute for Occupational Safety and Health,2011,2025,0000-0002-3864-6347,,,,,,,0000-0002-3864-6347,,Federal Institute for Occupational Safety and Health,Q90046370,225,12622,healthcare,14,1,14,False,0,1,1,0,,2006,2025,,2025.0,,0,0
https://openalex.org/A5014069871,Hermann Burr,https://openalex.org/I205783295,Cornell University,2006,2012,0000-0002-3864-6347,CAYUGA MEDICAL CENTER,42.4689850720001,-76.537484161,4.602820788088144,,,0000-0002-3864-6347,,Federal Institute for Occupational Safety and Health,Q90046370,225,12622,education,6,1,6,False,0,1,1,0,,2006,2025,,2025.0,,0,0
https://openalex.org/A5014541330,Guo Lin,https://openalex.org/I205783295,Cornell University,2003,2009,0000-0003-3390-5570,CAYUGA MEDICAL CENTER,42.4689850720001,-76.537484161,4.602820788088144,1972.0,,,,,Q1027050,206,5849,education,6,1,6,False,0,1,1,1,,2003,2024,31.0,2024.0,,0,0
https://openalex.org/A5014541330,Guo Lin,https://openalex.org/I82880672,Beihang University,2007,2024,0000-0003-3390-5570,,,,,1972.0,,,,,Q1027050,206,5849,education,17,1,17,False,0,1,1,1,,2003,2024,31.0,2024.0,,0,0
https://openalex.org/A5018819061,Anandarup Goswami,https://openalex.org/I102322142,"Rutgers, The State University of New Jersey",2012,2024,0000-0003-4696-8247,CHILDREN'S SPECIALIZED HOSPITAL,40.494825098,-74.451690392,0.9569060123417374,,,0000-0003-4696-8247,,,Q62606461,70,9184,education,12,1,12,False,0,0,1,0,,2012,2024,,2024.0,,0,0
