author_id,name,institution_id,institution_name,year_start,year_end,orcid,closest_hospital,hospital_lat,hospital_lon,distance_km,date_of_birth,date_of_death,ORCID,loc_id,affiliation,q_id,total_works,total_citations,inst_type,appoint_len,appt_dropped_by_inst_type,appoint_len_w,winsorized_appointment,perfect_overlap,partial_overlap_kept,partial_overlap_author
https://openalex.org/A5016083141,Michaël Ménard,https://openalex.org/I78744979,La Rochelle Université,2008,2015,0000-0002-0947-0258,,,,,,,0000-0002-0947-0258,,Université du Québec à Montréal,Q123653388,140,751,education,7,1,7,False,0,1,0
https://openalex.org/A5100452198,Taeho Kim,https://openalex.org/I2801673063,Kyungpook National University Hospital,2004,2021,0000-0002-7500-8918,,,,,,,0000-0002-7500-8918,,Seoul National University,Q58004570,253,11625,healthcare,17,1,17,False,0,1,1
https://openalex.org/A5100452198,Taeho Kim,https://openalex.org/I87216513,Michigan State University,2019,2025,0000-0002-7500-8918,EDWARD W SPARROW HOSPITAL,42.7340987050001,-84.535341876,4.216001314222071,,,0000-0002-7500-8918,,Seoul National University,Q58004570,253,11625,education,6,1,6,False,0,1,1
https://openalex.org/A5024990798,Brett L. Lucht,https://openalex.org/I17626003,University of Rhode Island,1999,2025,0000-0002-4660-0840,SOUTH COUNTY HOSPITAL,41.431078649,-71.4964111,5.899302133338544,,,0000-0002-4660-0840,,,Q90922230,338,17789,education,26,0,26,False,0,1,0
https://openalex.org/A5024990798,Brett L. Lucht,https://openalex.org/I205783295,Cornell University,1996,2003,0000-0002-4660-0840,CAYUGA MEDICAL CENTER,42.4689850720001,-76.537484161,4.602820788088144,,,0000-0002-4660-0840,,,Q90922230,338,17789,education,7,0,7,False,0,1,0
https://openalex.org/A5086525008,John DiGiovanni,https://openalex.org/I4210147155,Pediatrics and Genetics,1976,2015,0000-0003-4233-6728,WELLSTAR NORTH FULTON HOSPITAL,34.0633213180001,-84.3199724679999,2.8482254421628737,,,0000-0003-4233-6728,,University of Texas at Austin,Q91060184,594,15664,healthcare,39,1,39,False,0,1,1
https://openalex.org/A5086525008,John DiGiovanni,https://openalex.org/I12138139,Austin College,2011,2025,0000-0003-4233-6728,TMC BEHAVIORAL HEALTH CENTER,33.6635435540001,-96.613359282,2.5710762590684664,,,0000-0003-4233-6728,,University of Texas at Austin,Q91060184,594,15664,education,14,1,14,False,0,1,1
https://openalex.org/A5111631253,Albert H. Burstein,https://openalex.org/I58956616,Case Western Reserve University,1970,1982,,LUTHERAN HOSPITAL,41.4876333760001,-81.707262893,1.6479325770104616,1922-11-22T00:00:00Z,2018-12-27T00:00:00Z,,,,Q4709839,124,11823,education,12,0,12,False,0,1,1
https://openalex.org/A5111631253,Albert H. Burstein,https://openalex.org/I1281539108,Hospital for Special Surgery,1979,2018,,NEW YORK-PRESBYTERIAN/LOWER MANHATTAN HOSPITAL,40.7105167880001,-74.0052978259999,0.4212931995566836,1922-11-22T00:00:00Z,2018-12-27T00:00:00Z,,,,Q4709839,124,11823,healthcare,39,0,39,False,0,1,1
https://openalex.org/A5100393999,Sheng Zhang,https://openalex.org/I2802573037,Tianjin Medical University Cancer Institute and Hospital,2011,2018,0000-0001-9370-0548,,,,,,,0000-0001-9370-0548,,Hainan University,Q89368370,233,2882,healthcare,7,1,7,False,0,1,1
