,author_id,distance_km,date_of_birth,date_of_death,appoint_len,lifespan,earliest_start,latest_end_adj,age_first_pub,time_from_last_pub,n_appointments,total_works,total_citations
106,https://openalex.org/A5005372787,0.5238408880788852,,,2.7,,1995,2021.0,,,10,29,1708
107,https://openalex.org/A5005383414,0.3094497669165665,1923.0,,0.8461538461538461,,2013,2025.0,90.0,,13,50,425
108,https://openalex.org/A5005386457,1.4800846253026925,,,2.4545454545454546,,2006,2025.0,,,11,60,2162
109,https://openalex.org/A5005403662,2.487882067669988,,,1.0714285714285714,,1966,2004.0,,,14,195,1202
110,https://openalex.org/A5005419531,1.202315647727828,,,5.2,,2014,2022.0,,,5,17,598
111,https://openalex.org/A5005426652,2.478198158053163,,,2.4210526315789473,,1980,2016.0,,,19,94,2790
112,https://openalex.org/A5005485061,3.674957018198802,,,4.2727272727272725,,2003,2025.0,,,11,105,3674
113,https://openalex.org/A5005590626,1.8548679848173655,,,0.5263157894736842,,1962,2025.0,,,19,56,5689
114,https://openalex.org/A5005602079,2.2992204122492974,,,2.4,,1994,2021.0,,,20,186,8638
115,https://openalex.org/A5005663017,0.1122862784625716,,,0.0,,2002,2002.0,,,1,2,0
116,https://openalex.org/A5005846650,0.8725353439584254,1969.0,,0.0,,2014,2014.0,45.0,,1,1,1
117,https://openalex.org/A5005862811,1.4176991871225388,1974.0,,2.725,,2004,2025.0,30.0,,40,491,18545
118,https://openalex.org/A5005932904,0.1122862784625716,1975.0,,4.222222222222222,,2004,2022.0,29.0,,9,72,823
119,https://openalex.org/A5005962640,0.8725353439584254,,,0.0,,2012,2012.0,,,1,3,124
120,https://openalex.org/A5005970569,0.8725353439584254,,,22.0,,1998,2020.0,,,1,2,11
121,https://openalex.org/A5006038880,1.3410279829416445,1886.0,1921.0,4.0,35.0,1999,1921.0,113.0,0.0,8,57,15858
122,https://openalex.org/A5006071957,1.2703171999797098,,,4.4,,2017,2025.0,,,5,15,401
123,https://openalex.org/A5006266842,4.602820788088144,,,0.0,,2020,2020.0,,,1,3,66
124,https://openalex.org/A5006283253,3.590775753002838,1918.0,2009.0,6.666666666666667,91.0,1961,1984.0,43.0,25.0,3,25,143
125,https://openalex.org/A5006402876,1.934704000562444,,,3.176470588235294,,2002,2025.0,,,34,416,8244
126,https://openalex.org/A5006499960,1.471797620869129,,,3.6206896551724137,,1951,2025.0,,,29,343,14883
127,https://openalex.org/A5006537703,1.2703511006112305,,,2.0,,2022,2024.0,,,4,5,56
128,https://openalex.org/A5006538892,0.5138174592478079,,,2.5,,1984,2009.0,,,4,29,262
129,https://openalex.org/A5006572626,4.602820788088144,,,0.0,,1967,1967.0,,,1,2,4
130,https://openalex.org/A5006591034,4.602820788088144,,,0.0,,1992,1992.0,,,1,3,191
131,https://openalex.org/A5006596347,4.602820788088144,,,3.0,,1969,1972.0,,,1,3,10
132,https://openalex.org/A5006649339,0.22317327410247798,,,2.16,,2013,2025.0,,,25,116,4657
133,https://openalex.org/A5006713428,0.1122862784625716,,,2.272727272727273,,2006,2025.0,,,11,127,2756
134,https://openalex.org/A5006770491,0.42548148012594145,,,2.2222222222222223,,2006,2024.0,,,9,40,4813
135,https://openalex.org/A5006770666,1.4931443802713233,,,2.9583333333333335,,1988,2025.0,,,48,368,11996
136,https://openalex.org/A5006861896,1.0124609748731126,,,2.942857142857143,,1971,2025.0,,,35,256,11379
137,https://openalex.org/A5006909925,4.602820788088144,,,1.0,,2024,2025.0,,,2,7,6
138,https://openalex.org/A5006999128,0.1122862784625716,,,1.5,,2010,2017.0,,,2,5,413
139,https://openalex.org/A5007019491,0.599324632275925,,,3.875,,2007,2024.0,,,8,70,1281
140,https://openalex.org/A5007024655,0.8725353439584254,1983.0,,0.0,,1987,1987.0,4.0,,1,1,0
141,https://openalex.org/A5007174993,0.8731264603916226,,,2.0,,1996,2006.0,,,4,21,478
142,https://openalex.org/A5007193158,0.1122862784625716,,,6.0,,1966,2008.0,,,11,66,634
143,https://openalex.org/A5007198397,1.5803031890303427,,,2.4,,1989,2025.0,,,55,538,68104
144,https://openalex.org/A5007198433,2.414496792466405,,,3.5,,2005,2026.0,,,6,75,1625
