Processing institution: I63966007
[2015-2024] Total so far: 2200, Requests made: 120, avg 0.79 req/sec
[1985-1994] Total so far: 3200, Requests made: 120, avg 0.79 req/sec
[1955-1964] Total so far: 3800, Requests made: 121, avg 0.79 req/sec
[1965-1974] Total so far: 3600, Requests made: 124, avg 0.79 req/sec
[2005-2014] Total so far: 2600, Requests made: 124, avg 0.79 req/sec
[2025-2025] Total so far: 2800, Requests made: 124, avg 0.79 req/sec
[1995-2004] Total so far: 3400, Requests made: 125, avg 0.80 req/sec
[1955-1964] Total so far: 4000, Requests made: 127, avg 0.80 req/sec
[1985-1994] Total so far: 3400, Requests made: 130, avg 0.78 req/sec
[1975-1984] Total so far: 3600, Requests made: 130, avg 0.78 req/sec
[1965-1974] Total so far: 3800, Requests made: 130, avg 0.78 req/sec
[2015-2024] Total so far: 2400, Requests made: 130, avg 0.78 req/sec
[1995-2004] Total so far: 3600, Requests made: 133, avg 0.78 req/sec
[2005-2014] Total so far: 2800, Requests made: 133, avg 0.78 req/sec
[1985-1994] Total so far: 3600, Requests made: 133, avg 0.78 req/sec
[2025-2025] Total so far: 3000, Requests made: 134, avg 0.78 req/sec
[1965-1974] Total so far: 4000, Requests made: 138, avg 0.78 req/sec
[2015-2024] Total so far: 2600, Requests made: 139, avg 0.77 req/sec
[1975-1984] Total so far: 3800, Requests made: 139, avg 0.77 req/sec
[1995-2004] Total so far: 3800, Requests made: 139, avg 0.77 req/sec
[1955-1964] Total so far: 4200, Requests made: 139, avg 0.77 req/sec
[1965-1974] Total so far: 4200, Requests made: 141, avg 0.78 req/sec
[1985-1994] Total so far: 3800, Requests made: 141, avg 0.78 req/sec
[2005-2014] Total so far: 3000, Requests made: 143, avg 0.78 req/sec
[2025-2025] Total so far: 3200, Requests made: 143, avg 0.78 req/sec
[2015-2024] Total so far: 2800, Requests made: 145, avg 0.77 req/sec
[1975-1984] Total so far: 4000, Requests made: 147, avg 0.78 req/sec
[1965-1974] Total so far: 4400, Requests made: 148, avg 0.78 req/sec
[1955-1964] Total so far: 4400, Requests made: 148, avg 0.78 req/sec
[1995-2004] Total so far: 4000, Requests made: 148, avg 0.78 req/sec
[2025-2025] Total so far: 3400, Requests made: 149, avg 0.78 req/sec
[2005-2014] Total so far: 3200, Requests made: 150, avg 0.78 req/sec
[2015-2024] Total so far: 3000, Requests made: 151, avg 0.78 req/sec
[1985-1994] Total so far: 4000, Requests made: 155, avg 0.78 req/sec
[1965-1974] Total so far: 4600, Requests made: 155, avg 0.78 req/sec
[1955-1964] Total so far: 4600, Requests made: 155, avg 0.78 req/sec
[1975-1984] Total so far: 4200, Requests made: 155, avg 0.78 req/sec
[1995-2004] Total so far: 4200, Requests made: 156, avg 0.78 req/sec
[2025-2025] Total so far: 3600, Requests made: 159, avg 0.78 req/sec
[2005-2014] Total so far: 3400, Requests made: 159, avg 0.78 req/sec
[1985-1994] Total so far: 4200, Requests made: 159, avg 0.78 req/sec
[1965-1974] Total so far: 4800, Requests made: 164, avg 0.77 req/sec
[1955-1964] Total so far: 4800, Requests made: 164, avg 0.77 req/sec
[1975-1984] Total so far: 4400, Requests made: 164, avg 0.77 req/sec
